ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,3719,3569,119062,119091,118507,120990,120991,118398,120992
1,77905,5871,117876,117877,118344,157347,135522,118347,157348
1,37651,59000,118181,118182,117941,118568,292195,19721,118570
1,18632,30533,91261,118026,119507,123045,123107,120518,123047
1,74883,4871,117961,118300,125872,120006,159698,118424,120008
0,43695,19830,119062,119091,123125,118784,121556,290919,118786
1,34950,7629,117961,118327,120383,118321,149826,290919,118322
1,39883,53049,117961,118052,118053,118054,118054,117887,118055
1,42093,59765,117961,118386,118317,118523,294485,118331,118525
1,698,783,117961,118413,127522,121594,126485,4673,121596
1,45798,117445,119062,119091,118535,117905,117906,290919,117908
1,75932,58525,117890,117891,117878,117879,117879,19721,117880
1,35499,3722,117961,118300,120059,119849,124718,118638,119851
